name,type,start_p50,mid_p50,mid_p10,mid_p25,mid_p75,mid_p90,Ranked on Forbes
Middlebury College,Liberal Arts,less than national average,94200.0,44250.64935064935,69100.0,129000.0,157705.6277056277,False
Mount Holyoke College,Liberal Arts,less than national average,94100.0,44250.64935064935,57100.0,131000.0,157705.6277056277,False
Franklin and Marshall College,Liberal Arts,less than national average,92800.0,44250.64935064935,55800.0,185000.0,157705.6277056277,False
DePauw University,Liberal Arts,less than national average,88300.0,49500.0,57400.0,133000.0,185000.0,False
St. Olaf College,Liberal Arts,less than national average,86200.0,41300.0,61000.0,120000.0,185000.0,False
Colby College,Liberal Arts,less than national average,85800.0,44250.64935064935,63500.0,129000.0,157705.6277056277,False
Gettysburg College,Liberal Arts,less than national average,85800.0,44250.64935064935,66300.0,132000.0,157705.6277056277,False
Siena College,Liberal Arts,less than national average,85200.0,38700.0,58400.0,129000.0,189000.0,False
Smith College,Liberal Arts,less than national average,83900.0,45100.0,59800.0,129000.0,184000.0,False
Hamilton College,Liberal Arts,less than national average,83700.0,44250.64935064935,51900.0,123000.0,157705.6277056277,False
Randolph-Macon College,Liberal Arts,less than national average,83600.0,44250.64935064935,54100.0,123000.0,157705.6277056277,False
Wellesley College,Liberal Arts,less than national average,83500.0,44250.64935064935,58600.0,125000.0,157705.6277056277,False
Denison University,Liberal Arts,less than national average,83500.0,44250.64935064935,62100.0,122000.0,157705.6277056277,False
Oberlin College,Liberal Arts,less than national average,81600.0,44250.64935064935,46400.0,128000.0,157705.6277056277,False
University of Puget Sound,Liberal Arts,less than national average,81500.0,48900.0,60100.0,104000.0,137000.0,False
Colorado College (CC),Liberal Arts,less than national average,81400.0,44250.64935064935,43000.0,148000.0,157705.6277056277,False
Reed College,Liberal Arts,less than national average,81100.0,44250.64935064935,67400.0,101000.0,157705.6277056277,False
Gustavus Adolphus College,Liberal Arts,less than national average,80600.0,44250.64935064935,49300.0,101000.0,157705.6277056277,False
Whitman College,Liberal Arts,less than national average,80100.0,44250.64935064935,64800.0,111000.0,157705.6277056277,False
Ursinus College,Liberal Arts,less than national average,80000.0,35600.0,54300.0,100000.0,160000.0,False
Juniata College,Liberal Arts,less than national average,78900.0,44250.64935064935,67200.0,110000.0,157705.6277056277,False
Wittenberg University,Liberal Arts,less than national average,78200.0,44250.64935064935,54100.0,131000.0,157705.6277056277,False
Grinnell College,Liberal Arts,less than national average,76600.0,44250.64935064935,65100.0,116000.0,157705.6277056277,False
Skidmore College,Liberal Arts,less than national average,74600.0,44250.64935064935,42800.0,147000.0,157705.6277056277,False
Moravian College,Liberal Arts,less than national average,74400.0,44250.64935064935,56700.0,94900.0,157705.6277056277,False
Lewis & Clark College,Liberal Arts,less than national average,72600.0,38200.0,53400.0,104000.0,140000.0,False
Fort Lewis College,Liberal Arts,less than national average,69800.0,44250.64935064935,55000.0,94000.0,157705.6277056277,False
Thomas Aquinas College,Liberal Arts,less than national average,67500.0,44250.64935064935,44600.0,93100.0,157705.6277056277,False
Evergreen State College,Liberal Arts,less than national average,63900.0,38800.0,47200.0,91600.0,120000.0,False
Dartmouth College,Ivy League,more than national average,134000.0,63100.0,90200.0,234000.0,321000.0,True
Princeton University,Ivy League,more than national average,131000.0,68900.0,100000.0,190000.0,261000.0,True
Yale University,Ivy League,more than national average,126000.0,58000.0,80600.0,198000.0,326000.0,True
Harvard University,Ivy League,more than national average,124000.0,54800.0,86200.0,179000.0,288000.0,True
University of Pennsylvania,Ivy League,more than national average,120000.0,55900.0,79200.0,192000.0,282000.0,True
Cornell University,Ivy League,more than national average,110000.0,56800.0,79800.0,160000.0,210000.0,True
Brown University,Ivy League,less than national average,109000.0,55400.0,74400.0,159000.0,228000.0,True
Columbia University,Ivy League,more than national average,107000.0,50300.0,71900.0,161000.0,241000.0,True
"University of California, Berkeley",State,more than national average,112000.0,59500.0,81000.0,149000.0,201000.0,True
University of Virginia (UVA),State,less than national average,103000.0,52200.0,71800.0,146000.0,215000.0,False
Cal Poly San Luis Obispo,State,more than national average,101000.0,55000.0,74700.0,133000.0,178000.0,False
University of California at Los Angeles (UCLA),State,less than national average,101000.0,51300.0,72500.0,139000.0,193000.0,False
"University of California, San Diego (UCSD)",State,less than national average,101000.0,51700.0,75400.0,131000.0,177000.0,True
"University of California, Davis",State,less than national average,99600.0,52000.0,71600.0,135000.0,202000.0,True
University of Colorado - Boulder (UCB),State,less than national average,97600.0,51600.0,69000.0,128000.0,187000.0,False
"University of California, Irvine (UCI)",State,less than national average,96700.0,47800.0,66000.0,123000.0,172000.0,False
University of Illinois at Urbana-Champaign (UIUC),State,less than national average,96100.0,48200.0,68900.0,132000.0,177000.0,False
Texas A&M University,State,less than national average,96100.0,51100.0,71300.0,131000.0,171000.0,False
Binghamton University,State,less than national average,95900.0,50900.0,71200.0,146000.0,201000.0,False
University of Missouri - Rolla (UMR),State,more than national average,95800.0,67600.0,80400.0,122000.0,166000.0,False
San Jose State University (SJSU),State,less than national average,95600.0,50700.0,70500.0,122000.0,156000.0,False
"University of Maryland, College Park",State,less than national average,95000.0,50400.0,68300.0,126000.0,166000.0,False
"University of California, Santa Barbara (UCSB)",State,less than national average,95000.0,51300.0,71200.0,129000.0,173000.0,False
University of Texas (UT) - Austin,State,less than national average,93900.0,50100.0,67400.0,129000.0,188000.0,False
University of Michigan,State,less than national average,93000.0,50900.0,69400.0,128000.0,182000.0,False
Stony Brook University,State,less than national average,93000.0,47200.0,67100.0,129000.0,181000.0,False
State University of New York (SUNY) at Albany,State,less than national average,92200.0,47000.0,63100.0,135000.0,209000.0,False
Rutgers University,State,less than national average,91800.0,48100.0,65100.0,128000.0,176000.0,False
Purdue University,State,less than national average,90500.0,49900.0,67400.0,121000.0,168000.0,False
